Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0333301384983334,-0.00803260442612409,0.689835837083768,0,0,0,1.49690133184426,0.00329189748170828,-6.78095222817375E-08,-4.85227555996369E-07,0.00294239027368508,-5.65136146714161E-07,0.00317388886396801,0,0,0,0,0,0,package://leg_robot_4/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://leg_robot_4/meshes/base_link.STL,,髋关节装配体1_23-1/机架侧连接架-2;髋关节装配体1_23-1/TJ100-181-2;髋关节装配体1_23-1/TJ100-181-1;髋关节装配体1_23-1/机架上连接架-1;髋关节装配体1_23-1/机架侧连接架-1;髋关节装配体1_23-1/机架-2;髋关节装配体1_23-1/机架-1;髋关节装配体1_23-1/pitch轴承固定件-2;髋关节装配体1_23-1/pitch轴承固定件-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_Link1,0.088851659780158,-0.000331637085429826,0.02750913532889,0,0,0,0.269473166492788,0.000307595565290695,2.19819619350591E-06,-0.000182129639324375,0.000580819177282074,1.53210567122124E-06,0.00045369969875024,0,0,0,0,0,0,package://leg_robot_4/meshes/left_Link1.STL,1,1,1,1,0,0,0,0,0,0,package://leg_robot_4/meshes/left_Link1.STL,,髋关节装配体1_23-1/GB／T276-94深沟球轴承61912-2Z1-1;髋关节装配体1_23-1/pitch关节-1,坐标系1,基准轴1,left_joint1,revolute,0.074405,-0.0080455,0.67982,1.5708,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
left_Link2,9.35953192587879E-07,-0.0762574506509951,0.017596614239338,0,0,0,1.08645850508858,0.0014785711596645,-8.509908467779E-07,-1.28981575241324E-06,0.00218236702718317,-2.62516236789212E-05,0.00178961925253272,0,0,0,0,0,0,package://leg_robot_4/meshes/left_Link2.STL,1,1,1,1,0,0,0,0,0,0,package://leg_robot_4/meshes/left_Link2.STL,,髋关节装配体1_23-1/GB／T276-94深沟球轴承6209-2Z1-1;髋关节装配体1_23-1/row关节-1;髋关节装配体1_23-1/TJ100-181-3;髋关节装配体1_23-1/yaw关节-1;髋关节装配体1_23-1/TJ100-101-1;髋关节装配体1_23-1/yaw轴承固定件-1,坐标系2,基准轴2,left_joint2,revolute,0.14063,0.00016068,-0.013324,0,0,0,left_Link1,0,-0.012059,0.99993,0,0,0,0,,,,,,,,
left_Link3,0.00822876234553166,-0.304827746962222,-0.00369322736975432,0,0,0,1.60208478305264,0.0138948980281397,-8.29118868668374E-06,-1.76694508858768E-07,0.00115580752075013,-0.00017967710035112,0.012907492658796,0,0,0,0,0,0,package://leg_robot_4/meshes/left_Link3.STL,1,1,1,1,0,0,0,0,0,0,package://leg_robot_4/meshes/left_Link3.STL,,髋关节装配体1_23-1/髋关节链接件-1;左大腿膝关节-1/CNC_左（短）大腿外侧板-1;左大腿膝关节-1/大腿加强架-4;左大腿膝关节-1/CNC_左短大腿内侧板-1;左大腿膝关节-1/大腿加强架-1;左大腿膝关节-1/3D_大腿电机支撑件-1;左大腿膝关节-1/3D_大腿电机支撑件-2;左大腿膝关节-1/TJ72-36-1;左大腿膝关节-1/膝关节电机遥盘-2;左大腿膝关节-1/大腿连杆-1;左大腿膝关节-1/大腿连杆-2;左大腿膝关节-1/大腿加强架-3;左大腿膝关节-1/大腿加强架-2;左大腿膝关节-1/3D_膝关节电机外圈盖-1;左大腿膝关节-1/3D_膝关节电机外圈盖-2;左大腿膝关节-1/膝关节电机外端盖-3,坐标系3,基准轴3,left_joint3,revolute,0,-0.076656,0.012502,0,0,0,left_Link2,0,0.99993,0.012059,0,0,0,0,,,,,,,,
left_Link4,-0.0529070029782021,-0.104634142840928,-0.00757778919629163,0,0,0,1.06517552807913,0.00475103587154659,1.03052666819589E-06,5.00921503145521E-08,0.000363762862712759,-5.70889404450472E-05,0.00457610954754629,0,0,0,0,0,0,package://leg_robot_4/meshes/left_Link4.STL,1,1,1,1,0,0,0,0,0,0,package://leg_robot_4/meshes/left_Link4.STL,,左踝关节装配体-1/小腿装配体-1/3D_小腿膝关节支撑件-1;左大腿膝关节-1/膝关节电机内端盖-1;左大腿膝关节-1/GB／T276-94深沟球轴承61908-2Z-1;左踝关节装配体-1/小腿装配体-1/（短）小腿内侧板-1;左踝关节装配体-1/小腿装配体-1/（短）小腿外侧板-1;左踝关节装配体-1/小腿装配体-1/腿肚加强架-1;左踝关节装配体-1/小腿装配体-1/小腿电机保护壳-1;左踝关节装配体-1/小腿装配体-1/01.008.043.005 L8 10比关节电机-1;左踝关节装配体-1/小腿装配体-1/踝关节roll电机壳-1;左踝关节装配体-1/小腿装配体-1/踝关节roll电机壳-2;左踝关节装配体-1/小腿装配体-1/踝关节roll电机摇杆-1;左踝关节装配体-1/小腿装配体-1/小腿电机保护壳-2;左踝关节装配体-1/小腿装配体-1/小腿加强架-1;左踝关节装配体-1/小腿装配体-1/小腿加强架-3;左踝关节装配体-1/小腿装配体-1/踝关节roll轴圆形轴承套-2;左踝关节装配体-1/小腿装配体-1/踝关节roll轴圆形轴承套(外)-2;左踝关节装配体-1/小腿装配体-1/踝关节roll轴圆形轴承套-1;左踝关节装配体-1/小腿装配体-1/踝关节roll轴圆形轴承套(外)-1;左踝关节装配体-1/小腿装配体-1/连杆-1;左踝关节装配体-1/小腿装配体-1/连杆-2,坐标系4,基准轴4,left_joint4,revolute,0.049,-0.48196,-0.0058122,0,0,0,left_Link3,-1,0,0,0,0,0,0,,,,,,,,
left_Link5,0.000251667253197002,-0.0292044657081603,-0.0376606206082752,0,0,0,0.276071717463909,0.000285928353690902,1.94330197753284E-06,2.34221157246751E-08,5.70229975490586E-05,-2.3956388107617E-06,0.000255646675993595,0,0,0,0,0,0,package://leg_robot_4/meshes/left_Link5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://leg_robot_4/meshes/left_Link5.STL,,左踝关节装配体-1/小腿装配体-1/踝关节roll轴承端盖-1;左踝关节装配体-1/小腿装配体-1/GB／T276-94深沟球轴承61905-2Z-2;左踝关节装配体-1/小腿装配体-1/GB／T276-94深沟球轴承61905-2Z-1;左踝关节装配体-1/左脚掌装配体-1/转换关节-1;左踝关节装配体-1/小腿装配体-1/踝关节roll轴承端盖(无连杆)-1,坐标系5,基准轴5,left_joint5,revolute,-0.049,-0.25742,0.032898,0,0,0,left_Link4,0,-0.012059,0.99993,0,0,0,0,,,,,,,,
left_Link6,-0.0437056095034989,-0.0126444231109442,0.0109673593360841,0,0,0,1.25173482349334,0.00221587722669508,-4.09271287243686E-05,3.27923575098428E-05,0.00192790168163853,0.000322150902158661,0.000761945243365007,0,0,0,0,0,0,package://leg_robot_4/meshes/left_Link6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://leg_robot_4/meshes/left_Link6.STL,,左踝关节装配体-1/左脚掌装配体-1/左脚掌-1;左踝关节装配体-1/左脚掌装配体-1/法兰轴承F6007ZZ（外62内35厚14）-1;左踝关节装配体-1/左脚掌装配体-1/3D-踝关节pitch电机端盖-1;左踝关节装配体-1/左脚掌装配体-1/01.008.043.005 L8 10比关节电机-1;左踝关节装配体-1/左脚掌装配体-1/内法兰轴承端盖-1;左踝关节装配体-1/左脚掌装配体-1/左橡胶足底-1,坐标系6,基准轴6,left_joint6,revolute,0.052392,-0.069119,-0.036836,0,0,0,left_Link5,0.99996,0.0084839,0.0001783,0,0,0,0,,,,,,,,
right_Link1,-0.0888516568342693,5.69432960473293E-06,0.027511155133394,0,0,0,0.269474958062602,0.000307596278049938,3.84275155890697E-08,0.000182142100703291,0.000580835822721732,-2.59088708029145E-08,0.000453681028456837,0,0,0,0,0,0,package://leg_robot_4/meshes/right_Link1.STL,1,1,1,1,0,0,0,0,0,0,package://leg_robot_4/meshes/right_Link1.STL,,髋关节装配体1_23-1/pitch关节-2;髋关节装配体1_23-1/GB／T276-94深沟球轴承61912-2Z1-2,坐标系7,基准轴7,right_joint1,revolute,-0.0077449,-0.0080455,0.67982,1.5708,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
right_Link2,-4.38095032667674E-07,-0.076036764225861,0.018530029662752,0,0,0,1.0864584420749,0.00147851074616316,-1.10347304742056E-06,-1.10182705446302E-06,0.00218183328697101,-3.10669873097236E-05,0.00179021288933082,0,0,0,0,0,0,package://leg_robot_4/meshes/right_Link2.STL,1,1,1,1,0,0,0,0,0,0,package://leg_robot_4/meshes/right_Link2.STL,,髋关节装配体1_23-1/yaw轴承固定件-2;髋关节装配体1_23-1/TJ100-101-2;髋关节装配体1_23-1/yaw关节-2;髋关节装配体1_23-1/row关节-2;髋关节装配体1_23-1/TJ100-181-4;髋关节装配体1_23-1/GB／T276-94深沟球轴承6209-2Z1-2,坐标系8,基准轴8,right_joint2,revolute,-0.14063,0,-0.013325,0,0,0,right_Link1,0,0.00020514,1,0,0,0,0,,,,,,,,
right_Link3,-0.00822876234704453,-0.305002360917959,2.95066752287413E-05,0,0,0,1.60208478387031,0.0138950635853602,8.23856486133477E-06,-5.78962498053342E-08,0.00115237426677091,-3.68208476762078E-05,0.0129110914701674,0,0,0,0,0,0,package://leg_robot_4/meshes/right_Link3.STL,1,1,1,1,0,0,0,0,0,0,package://leg_robot_4/meshes/right_Link3.STL,,右大腿膝关节-1/大腿加强架-4;右大腿膝关节-1/CNC_大腿外侧板-2;右大腿膝关节-1/CNC_大腿内侧板-1;右大腿膝关节-1/3D_大腿电机支撑件-2;右大腿膝关节-1/TJ72-36-1;右大腿膝关节-1/大腿连杆-2;右大腿膝关节-1/大腿连杆-1;右大腿膝关节-1/膝关节电机遥盘-1;右大腿膝关节-1/大腿加强架-1;右大腿膝关节-1/3D_大腿电机支撑件-1;右大腿膝关节-1/大腿加强架-2;右大腿膝关节-1/大腿加强架-3;右大腿膝关节-1/3D_膝关节电机外圈盖-1;右大腿膝关节-1/3D_膝关节电机外圈盖-2;髋关节装配体1_23-1/髋关节链接件-2;右大腿膝关节-1/膝关节电机外端盖-2,坐标系9,基准轴9,right_joint3,revolute,0,-0.076497,0.013441,0,0,0,right_Link2,0,1,-0.00020514,0,0,0,0,,,,,,,,
